 ;ID de cuidad-1-1-1-0|Nombre de Cuidad-3-25-0-1|Edad-1-1-0-0|Departamentos de policia-1-1-0-0|Estado-3-1-0-0|;0;1; ;                                                                                                                                                                                                                                                                                                                                                                                              
588;Nombre de Cuidad588;35;5218;Estado588;| | |                                                                                                                                                                                                                
589;Nombre de Cuidad589;75;4600;Estado589;| | |                                                                                                                                                                                                                
590;Nombre de Cuidad590;75;7096;Estado590;| | |                                                                                                                                                                                                                
591;Nombre de Cuidad591;83;8967;Estado591;| | |                                                                                                                                                                                                                
592;Nombre de Cuidad592;96;7994;Estado592;| | |                                                                                                                                                                                                                
593;Nombre de Cuidad593;15;9057;Estado593;| | |                                                                                                                                                                                                                
594;Nombre de Cuidad594;38;6709;Estado594;| | |                                                                                                                                                                                                                
595;Nombre de Cuidad595;49;7147;Estado595;| | |                                                                                                                                                                                                                
596;Nombre de Cuidad596;61;1287;Estado596;| | |                                                                                                                                                                                                                
597;Nombre de Cuidad597;53;5141;Estado597;| | |                                                                                                                                                                                                                
598;Nombre de Cuidad598;45;9095;Estado598;| | |                                                                                                                                                                                                                
599;Nombre de Cuidad599;44;3489;Estado599;| | |                                                                                                                                                                                                                
600;Nombre de Cuidad600;57;6984;Estado600;| | |                                                                                                                                                                                                                
601;Nombre de Cuidad601;10;8220;Estado601;| | |                                                                                                                                                                                                                
602;Nombre de Cuidad602;23;2761;Estado602;| | |                                                                                                                                                                                                                
603;Nombre de Cuidad603;61;5252;Estado603;| | |                                                                                                                                                                                                                
604;Nombre de Cuidad604;92;1348;Estado604;| | |                                                                                                                                                                                                                
605;Nombre de Cuidad605;66;5766;Estado605;| | |                                                                                                                                                                                                                
606;Nombre de Cuidad606;16;5705;Estado606;| | |                                                                                                                                                                                                                
607;Nombre de Cuidad607;74;6123;Estado607;| | |                                                                                                                                                                                                                
608;Nombre de Cuidad608;36;4670;Estado608;| | |                                                                                                                                                                                                                
609;Nombre de Cuidad609;27;5046;Estado609;| | |                                                                                                                                                                                                                
610;Nombre de Cuidad610;26;4229;Estado610;| | |                                                                                                                                                                                                                
611;Nombre de Cuidad611;44;7925;Estado611;| | |                                                                                                                                                                                                                
612;Nombre de Cuidad612;38;5314;Estado612;| | |                                                                                                                                                                                                                
613;Nombre de Cuidad613;36;3921;Estado613;| | |                                                                                                                                                                                                                
614;Nombre de Cuidad614;67;3383;Estado614;| | |                                                                                                                                                                                                                
615;Nombre de Cuidad615;33;9803;Estado615;| | |                                                                                                                                                                                                                
616;Nombre de Cuidad616;51;3287;Estado616;| | |                                                                                                                                                                                                                
617;Nombre de Cuidad617;71;1061;Estado617;| | |                                                                                                                                                                                                                
618;Nombre de Cuidad618;28;8059;Estado618;| | |                                                                                                                                                                                                                
619;Nombre de Cuidad619;93;6491;Estado619;| | |                                                                                                                                                                                                                
620;Nombre de Cuidad620;41;9124;Estado620;| | |                                                                                                                                                                                                                
621;Nombre de Cuidad621;33;8972;Estado621;| | |                                                                                                                                                                                                                
622;Nombre de Cuidad622;78;7950;Estado622;| | |                                                                                                                                                                                                                
623;Nombre de Cuidad623;30;4265;Estado623;| | |                                                                                                                                                                                                                
624;Nombre de Cuidad624;17;7180;Estado624;| | |                                                                                                                                                                                                                
625;Nombre de Cuidad625;74;7664;Estado625;| | |                                                                                                                                                                                                                
626;Nombre de Cuidad626;78;6734;Estado626;| | |                                                                                                                                                                                                                
627;Nombre de Cuidad627;57;7229;Estado627;| | |                                                                                                                                                                                                                
628;Nombre de Cuidad628;96;5252;Estado628;| | |                                                                                                                                                                                                                
629;Nombre de Cuidad629;21;7710;Estado629;| | |                                                                                                                                                                                                                
630;Nombre de Cuidad630;44;6630;Estado630;| | |                                                                                                                                                                                                                
631;Nombre de Cuidad631;82;1441;Estado631;| | |                                                                                                                                                                                                                
632;Nombre de Cuidad632;27;9842;Estado632;| | |                                                                                                                                                                                                                
633;Nombre de Cuidad633;77;3101;Estado633;| | |                                                                                                                                                                                                                
634;Nombre de Cuidad634;35;4432;Estado634;| | |                                                                                                                                                                                                                
635;Nombre de Cuidad635;39;7890;Estado635;| | |                                                                                                                                                                                                                
636;Nombre de Cuidad636;46;2005;Estado636;| | |                                                                                                                                                                                                                
637;Nombre de Cuidad637;86;7286;Estado637;| | |                                                                                                                                                                                                                
638;Nombre de Cuidad638;48;6362;Estado638;| | |                                                                                                                                                                                                                
639;Nombre de Cuidad639;54;6604;Estado639;| | |                                                                                                                                                                                                                
640;Nombre de Cuidad640;66;1961;Estado640;| | |                                                                                                                                                                                                                
641;Nombre de Cuidad641;95;7051;Estado641;| | |                                                                                                                                                                                                                
642;Nombre de Cuidad642;27;4828;Estado642;| | |                                                                                                                                                                                                                
643;Nombre de Cuidad643;78;2136;Estado643;| | |                                                                                                                                                                                                                
644;Nombre de Cuidad644;34;2490;Estado644;| | |                                                                                                                                                                                                                
645;Nombre de Cuidad645;27;3425;Estado645;| | |                                                                                                                                                                                                                
646;Nombre de Cuidad646;79;1926;Estado646;| | |                                                                                                                                                                                                                
647;Nombre de Cuidad647;86;5312;Estado647;| | |                                                                                                                                                                                                                
648;Nombre de Cuidad648;68;2693;Estado648;| | |                                                                                                                                                                                                                
649;Nombre de Cuidad649;21;8784;Estado649;| | |                                                                                                                                                                                                                
650;Nombre de Cuidad650;38;7044;Estado650;| | |                                                                                                                                                                                                                
651;Nombre de Cuidad651;52;1422;Estado651;| | |                                                                                                                                                                                                                
652;Nombre de Cuidad652;29;7772;Estado652;| | |                                                                                                                                                                                                                
653;Nombre de Cuidad653;26;5767;Estado653;| | |                                                                                                                                                                                                                
654;Nombre de Cuidad654;43;8251;Estado654;| | |                                                                                                                                                                                                                
655;Nombre de Cuidad655;61;9586;Estado655;| | |                                                                                                                                                                                                                
656;Nombre de Cuidad656;76;2208;Estado656;| | |                                                                                                                                                                                                                
657;Nombre de Cuidad657;29;9810;Estado657;| | |                                                                                                                                                                                                                
658;Nombre de Cuidad658;86;6843;Estado658;| | |                                                                                                                                                                                                                
659;Nombre de Cuidad659;84;9027;Estado659;| | |                                                                                                                                                                                                                
660;Nombre de Cuidad660;13;2086;Estado660;| | |                                                                                                                                                                                                                
661;Nombre de Cuidad661;75;7326;Estado661;| | |                                                                                                                                                                                                                
662;Nombre de Cuidad662;26;1380;Estado662;| | |                                                                                                                                                                                                                
663;Nombre de Cuidad663;42;5218;Estado663;| | |                                                                                                                                                                                                                
664;Nombre de Cuidad664;66;1965;Estado664;| | |                                                                                                                                                                                                                
665;Nombre de Cuidad665;11;6457;Estado665;| | |                                                                                                                                                                                                                
666;Nombre de Cuidad666;88;7299;Estado666;| | |                                                                                                                                                                                                                
667;Nombre de Cuidad667;14;5084;Estado667;| | |                                                                                                                                                                                                                
668;Nombre de Cuidad668;54;3644;Estado668;| | |                                                                                                                                                                                                                
669;Nombre de Cuidad669;10;3452;Estado669;| | |                                                                                                                                                                                                                
670;Nombre de Cuidad670;18;7244;Estado670;| | |                                                                                                                                                                                                                
671;Nombre de Cuidad671;42;2414;Estado671;| | |                                                                                                                                                                                                                
672;Nombre de Cuidad672;77;9014;Estado672;| | |                                                                                                                                                                                                                
673;Nombre de Cuidad673;39;4922;Estado673;| | |                                                                                                                                                                                                                
674;Nombre de Cuidad674;36;5310;Estado674;| | |                                                                                                                                                                                                                
675;Nombre de Cuidad675;26;1225;Estado675;| | |                                                                                                                                                                                                                
676;Nombre de Cuidad676;98;7607;Estado676;| | |                                                                                                                                                                                                                
677;Nombre de Cuidad677;51;2896;Estado677;| | |                                                                                                                                                                                                                
678;Nombre de Cuidad678;75;5372;Estado678;| | |                                                                                                                                                                                                                
679;Nombre de Cuidad679;82;2069;Estado679;| | |                                                                                                                                                                                                                
680;Nombre de Cuidad680;68;6109;Estado680;| | |                                                                                                                                                                                                                
681;Nombre de Cuidad681;44;5981;Estado681;| | |                                                                                                                                                                                                                
682;Nombre de Cuidad682;79;1608;Estado682;| | |                                                                                                                                                                                                                
683;Nombre de Cuidad683;28;2383;Estado683;| | |                                                                                                                                                                                                                
684;Nombre de Cuidad684;96;5921;Estado684;| | |                                                                                                                                                                                                                
685;Nombre de Cuidad685;55;3985;Estado685;| | |                                                                                                                                                                                                                
686;Nombre de Cuidad686;93;2648;Estado686;| | |                                                                                                                                                                                                                
687;Nombre de Cuidad687;47;4685;Estado687;| | |                                                                                                                                                                                                                
688;Nombre de Cuidad688;57;3838;Estado688;| | |                                                                                                                                                                                                                
689;Nombre de Cuidad689;88;7919;Estado689;| | |                                                                                                                                                                                                                
690;Nombre de Cuidad690;46;9643;Estado690;| | |                                                                                                                                                                                                                
691;Nombre de Cuidad691;31;2134;Estado691;| | |                                                                                                                                                                                                                
692;Nombre de Cuidad692;71;3198;Estado692;| | |                                                                                                                                                                                                                
693;Nombre de Cuidad693;45;2396;Estado693;| | |                                                                                                                                                                                                                
694;Nombre de Cuidad694;89;6170;Estado694;| | |                                                                                                                                                                                                                
695;Nombre de Cuidad695;80;4988;Estado695;| | |                                                                                                                                                                                                                
696;Nombre de Cuidad696;70;9642;Estado696;| | |                                                                                                                                                                                                                
697;Nombre de Cuidad697;81;7767;Estado697;| | |                                                                                                                                                                                                                
698;Nombre de Cuidad698;49;1913;Estado698;| | |                                                                                                                                                                                                                
699;Nombre de Cuidad699;70;5827;Estado699;| | |                                                                                                                                                                                                                
700;Nombre de Cuidad700;21;2096;Estado700;| | |                                                                                                                                                                                                                
701;Nombre de Cuidad701;91;1961;Estado701;| | |                                                                                                                                                                                                                
702;Nombre de Cuidad702;81;4141;Estado702;| | |                                                                                                                                                                                                                
703;Nombre de Cuidad703;38;1849;Estado703;| | |                                                                                                                                                                                                                
704;Nombre de Cuidad704;13;4604;Estado704;| | |                                                                                                                                                                                                                
705;Nombre de Cuidad705;28;1236;Estado705;| | |                                                                                                                                                                                                                
706;Nombre de Cuidad706;48;3141;Estado706;| | |                                                                                                                                                                                                                
707;Nombre de Cuidad707;29;8302;Estado707;| | |                                                                                                                                                                                                                
708;Nombre de Cuidad708;18;6593;Estado708;| | |                                                                                                                                                                                                                
709;Nombre de Cuidad709;58;7094;Estado709;| | |                                                                                                                                                                                                                
710;Nombre de Cuidad710;82;1506;Estado710;| | |                                                                                                                                                                                                                
711;Nombre de Cuidad711;92;3099;Estado711;| | |                                                                                                                                                                                                                
712;Nombre de Cuidad712;71;4287;Estado712;| | |                                                                                                                                                                                                                
713;Nombre de Cuidad713;21;3244;Estado713;| | |                                                                                                                                                                                                                
714;Nombre de Cuidad714;33;2033;Estado714;| | |                                                                                                                                                                                                                
715;Nombre de Cuidad715;56;3548;Estado715;| | |                                                                                                                                                                                                                
716;Nombre de Cuidad716;69;3356;Estado716;| | |                                                                                                                                                                                                                
717;Nombre de Cuidad717;86;4273;Estado717;| | |                                                                                                                                                                                                                
718;Nombre de Cuidad718;100;4325;Estado718;| | |                                                                                                                                                                                                               
719;Nombre de Cuidad719;85;5600;Estado719;| | |                                                                                                                                                                                                                
720;Nombre de Cuidad720;71;9653;Estado720;| | |                                                                                                                                                                                                                
721;Nombre de Cuidad721;100;6846;Estado721;| | |                                                                                                                                                                                                               
722;Nombre de Cuidad722;24;3783;Estado722;| | |                                                                                                                                                                                                                
723;Nombre de Cuidad723;44;3941;Estado723;| | |                                                                                                                                                                                                                
724;Nombre de Cuidad724;13;2412;Estado724;| | |                                                                                                                                                                                                                
725;Nombre de Cuidad725;60;8593;Estado725;| | |                                                                                                                                                                                                                
726;Nombre de Cuidad726;14;8048;Estado726;| | |                                                                                                                                                                                                                
727;Nombre de Cuidad727;28;3750;Estado727;| | |                                                                                                                                                                                                                
728;Nombre de Cuidad728;26;5904;Estado728;| | |                                                                                                                                                                                                                
729;Nombre de Cuidad729;27;7288;Estado729;| | |                                                                                                                                                                                                                
730;Nombre de Cuidad730;62;7307;Estado730;| | |                                                                                                                                                                                                                
731;Nombre de Cuidad731;21;3463;Estado731;| | |                                                                                                                                                                                                                
732;Nombre de Cuidad732;56;1506;Estado732;| | |                                                                                                                                                                                                                
733;Nombre de Cuidad733;61;9165;Estado733;| | |                                                                                                                                                                                                                
734;Nombre de Cuidad734;51;5989;Estado734;| | |                                                                                                                                                                                                                
735;Nombre de Cuidad735;35;7324;Estado735;| | |                                                                                                                                                                                                                
736;Nombre de Cuidad736;29;3204;Estado736;| | |                                                                                                                                                                                                                
737;Nombre de Cuidad737;50;8993;Estado737;| | |                                                                                                                                                                                                                
738;Nombre de Cuidad738;42;9646;Estado738;| | |                                                                                                                                                                                                                
739;Nombre de Cuidad739;26;6007;Estado739;| | |                                                                                                                                                                                                                
740;Nombre de Cuidad740;99;8314;Estado740;| | |                                                                                                                                                                                                                
741;Nombre de Cuidad741;26;6898;Estado741;| | |                                                                                                                                                                                                                
742;Nombre de Cuidad742;72;8592;Estado742;| | |                                                                                                                                                                                                                
743;Nombre de Cuidad743;90;7465;Estado743;| | |                                                                                                                                                                                                                
744;Nombre de Cuidad744;12;5530;Estado744;| | |                                                                                                                                                                                                                
745;Nombre de Cuidad745;87;6135;Estado745;| | |                                                                                                                                                                                                                
746;Nombre de Cuidad746;84;3124;Estado746;| | |                                                                                                                                                                                                                
747;Nombre de Cuidad747;12;9790;Estado747;| | |                                                                                                                                                                                                                
748;Nombre de Cuidad748;21;1277;Estado748;| | |                                                                                                                                                                                                                
749;Nombre de Cuidad749;80;3880;Estado749;| | |                                                                                                                                                                                                                
750;Nombre de Cuidad750;13;1865;Estado750;| | |                                                                                                                                                                                                                
751;Nombre de Cuidad751;30;3019;Estado751;| | |                                                                                                                                                                                                                
752;Nombre de Cuidad752;85;1677;Estado752;| | |                                                                                                                                                                                                                
753;Nombre de Cuidad753;55;4448;Estado753;| | |                                                                                                                                                                                                                
754;Nombre de Cuidad754;58;8935;Estado754;| | |                                                                                                                                                                                                                
755;Nombre de Cuidad755;52;6977;Estado755;| | |                                                                                                                                                                                                                
756;Nombre de Cuidad756;32;3471;Estado756;| | |                                                                                                                                                                                                                
757;Nombre de Cuidad757;19;6037;Estado757;| | |                                                                                                                                                                                                                
758;Nombre de Cuidad758;49;4501;Estado758;| | |                                                                                                                                                                                                                
759;Nombre de Cuidad759;46;1689;Estado759;| | |                                                                                                                                                                                                                
760;Nombre de Cuidad760;42;3904;Estado760;| | |                                                                                                                                                                                                                
761;Nombre de Cuidad761;15;6612;Estado761;| | |                                                                                                                                                                                                                
762;Nombre de Cuidad762;70;5792;Estado762;| | |                                                                                                                                                                                                                
763;Nombre de Cuidad763;19;4479;Estado763;| | |                                                                                                                                                                                                                
